Patente,Hora,T_viaje,T_viaje_str,Velocidad
AD323GH,2019-10-03T00:03:01,143,0:02:23,37.76223776223777
AD552HQ,2019-10-03T00:09:14,140,0:02:20,38.57142857142857
NAT592,2019-10-03T00:09:23,159,0:02:39,33.9622641509434
AD731DB,2019-10-03T00:09:27,138,0:02:18,39.130434782608695
MOT260,2019-10-03T00:09:39,136,0:02:16,39.705882352941174
MHM911,2019-10-03T00:16:51,251,0:04:11,21.513944223107572
LWA225,2019-10-03T00:16:58,179,0:02:59,30.16759776536313
AA879VW,2019-10-03T00:20:55,136,0:02:16,39.705882352941174
AA410BA,2019-10-03T00:20:56,143,0:02:23,37.76223776223777
AA527LD,2019-10-03T00:23:01,136,0:02:16,39.705882352941174
AB831XV,2019-10-03T00:25:04,164,0:02:44,32.926829268292686
AC028FH,2019-10-03T00:26:55,288,0:04:48,18.75
LYP485,2019-10-03T00:27:04,195,0:03:15,27.692307692307693
AC529ZG,2019-10-03T00:27:15,193,0:03:13,27.979274611398964
OXW737,2019-10-03T00:27:45,209,0:03:29,25.83732057416268
AC824CQ,2019-10-03T00:27:55,136,0:02:16,39.705882352941174
AC201JF,2019-10-03T00:30:57,152,0:02:32,35.526315789473685
CJS377,2019-10-03T00:31:04,135,0:02:15,40.0
AA013MD,2019-10-03T00:31:06,151,0:02:31,35.76158940397351
AA085YC,2019-10-03T00:32:47,149,0:02:29,36.241610738255034
AC667XG,2019-10-03T00:32:49,138,0:02:18,39.130434782608695
AB377UH,2019-10-03T00:33:03,131,0:02:11,41.221374045801525
AB837VS,2019-10-03T00:34:56,178,0:02:58,30.337078651685395
AA607VY,2019-10-03T00:36:55,183,0:03:03,29.508196721311474
AB540PA,2019-10-03T00:37:02,171,0:02:51,31.578947368421055
AC949LR,2019-10-03T00:37:47,141,0:02:21,38.297872340425535
AD309JQ,2019-10-03T00:39:12,130,0:02:10,41.53846153846154
OMH730,2019-10-03T00:39:43,135,0:02:15,40.0
PCJ719,2019-10-03T00:40:52,129,0:02:09,41.860465116279066
AD558YF,2019-10-03T00:40:59,133,0:02:13,40.6015037593985
PIO352,2019-10-03T00:41:13,123,0:02:03,43.90243902439025
AA886JN,2019-10-03T00:42:58,135,0:02:15,40.0
PIF080,2019-10-03T00:45:02,165,0:02:45,32.727272727272734
AA914GG,2019-10-03T00:46:51,179,0:02:59,30.16759776536313
POB549,2019-10-03T00:46:53,166,0:02:46,32.53012048192771
